nohup: ignoring input
wandb: [wandb.login()] Using explicit session credentials for https://api.wandb.ai.
wandb: Appending key for api.wandb.ai to your netrc file: /home/santiago/.netrc
wandb: Currently logged in as: santiago-florido (TAU-Frugal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.28.0
wandb: Run data is saved locally in results/wandb/run-20260713_121559-1cgjxj5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mnist_fgd_grow_3x10_th050
wandb: ⭐️ View project at https://wandb.ai/TAU-Frugal/stable-tiny
wandb: 🚀 View run at https://wandb.ai/TAU-Frugal/stable-tiny/runs/1cgjxj5o
Using device: cuda
Training method: fgd_approx
W&B logging enabled: project=stable-tiny, run=mnist_fgd_grow_3x10_th050
Original model:
LinearGrowingModule(LinearGrowingModule(Layer 0))(in_features=784, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 1))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 2))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 3))(in_features=10, out_features=10, use_bias=True)
[INIT] Epoch 0, train_loss=0.2919, validation_loss=0.2897, test_loss=0.2889, train_acc=0.093, validation_acc=0.105, test_acc=0.103
[FGD] Epoch 24, train_loss=0.0271, validation_loss=0.0287, test_loss=0.0290 (-0.0001), train_acc=0.875, validation_acc=0.865, test_acc=0.862, lr=0.000625, rel_err=0.042, selected_layer=0
[FGD] Epoch 25, train_loss=0.0270, validation_loss=0.0286, test_loss=0.0288 (-0.0001), train_acc=0.876, validation_acc=0.865, test_acc=0.862, lr=0.000625, rel_err=0.042, selected_layer=0
[FGD] Epoch 26, train_loss=0.0269, validation_loss=0.0285, test_loss=0.0288 (-0.0001), train_acc=0.876, validation_acc=0.867, test_acc=0.862, lr=0.000625, rel_err=0.043, selected_layer=0
[FGD] Epoch 27, train_loss=0.0268, validation_loss=0.0284, test_loss=0.0287 (-0.0001), train_acc=0.876, validation_acc=0.869, test_acc=0.862, lr=0.000625, rel_err=0.043, selected_layer=0
[FGD] Epoch 28, train_loss=0.0267, validation_loss=0.0283, test_loss=0.0286 (-0.0001), train_acc=0.877, validation_acc=0.870, test_acc=0.862, lr=0.000625, rel_err=0.043, selected_layer=0
[FGD] Epoch 29, train_loss=0.0266, validation_loss=0.0282, test_loss=0.0285 (-0.0001), train_acc=0.877, validation_acc=0.871, test_acc=0.863, lr=0.000625, rel_err=0.044, selected_layer=0
[FGD] Epoch 30, train_loss=0.0265, validation_loss=0.0281, test_loss=0.0284 (-0.0001), train_acc=0.877, validation_acc=0.873, test_acc=0.863, lr=0.000625, rel_err=0.044, selected_layer=0
[FGD] Epoch 31, train_loss=0.0264, validation_loss=0.0280, test_loss=0.0283 (-0.0001), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=0.000625, rel_err=0.045, selected_layer=0
[FGD] Epoch 32, train_loss=0.0263, validation_loss=0.0279, test_loss=0.0282 (-0.0001), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=0.000625, rel_err=0.046, selected_layer=0
[FGD] Epoch 33, train_loss=0.0263, validation_loss=0.0278, test_loss=0.0282 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=0.0001791, rel_err=0.046, selected_layer=0
[FGD-WARN] Epoch 33: learning-rate clipped on 1 batch(es)
[FGD] Epoch 34, train_loss=0.0263, validation_loss=0.0278, test_loss=0.0282 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 35, train_loss=0.0263, validation_loss=0.0278, test_loss=0.0282 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 36, train_loss=0.0263, validation_loss=0.0278, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=7.813e-05, rel_err=0.046, selected_layer=0
